Population,Five-Year Age Groups,Gender,Hispanic Origin,Race,Year
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2010
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2010
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2011
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2011
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2012
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2012
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2013
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2013
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2014
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2014
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2015
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2015
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2016
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2016
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2017
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2017
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2018
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2018
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2019
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2019
Not Applicable,95-99 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2020 
Not Applicable,95-99 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2020 
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,1999
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,1999
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2000
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2000
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2001
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2001
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2002
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2002
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2003
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2003
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2004
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2004
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2005
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2005
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2006
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2006
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2007
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2007
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2008
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2008
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2009
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2009
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2010
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2010
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2011
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2011
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2012
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2012
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2013
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2013
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2014
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2014
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2015
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2015
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2016
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2016
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2017
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2017
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2018
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2018
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2019
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2019
Not Applicable,100+ years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2020 
Not Applicable,100+ years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2020 
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,1999
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,1999
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2000
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2000
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2001
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2001
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2002
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2002
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2003
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2003
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2004
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2004
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2005
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2005
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2006
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2006
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2007
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2007
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2008
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2008
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2009
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2009
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2010
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2010
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2011
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2011
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2012
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2012
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2013
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2013
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2014
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2014
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2015
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2015
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2016
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2016
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2017
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2017
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2018
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2018
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2019
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2019
Not Applicable,Not Stated,Female,Not Hispanic or Latino,American Indian or Alaska Native,2020 
Not Applicable,Not Stated,Male,Not Hispanic or Latino,American Indian or Alaska Native,2020 
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,1999
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,1999
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2000
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2000
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2001
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2001
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2002
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2002
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2003
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2003
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2004
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2004
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2005
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2005
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2006
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2006
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2007
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2007
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2008
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2008
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2009
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2009
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2010
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2010
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2011
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2011
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2012
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2012
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2013
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2013
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2014
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2014
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2015
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2015
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2016
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2016
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2017
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2017
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2018
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2018
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2019
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2019
Not Applicable,< 1 year,Female,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,< 1 year,Male,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,1999
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,1999
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2000
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2000
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2001
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2001
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2002
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2002
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2003
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2003
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2004
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2004
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2005
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2005
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2006
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2006
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2007
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2007
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2008
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2008
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2009
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2009
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2010
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2010
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2011
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2011
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2012
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2012
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2013
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2013
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2014
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2014
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2015
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2015
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2016
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2016
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2017
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2017
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2018
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2018
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2019
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2019
Not Applicable,1-4 years,Female,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,1-4 years,Male,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,1999
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,1999
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2000
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2000
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2001
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2001
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2002
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2002
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2003
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2003
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2004
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2004
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2005
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2005
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2006
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2006
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2007
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2007
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2008
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2008
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2009
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2009
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2010
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2010
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2011
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2011
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2012
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2012
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2013
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2013
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2014
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2014
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2015
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2015
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2016
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2016
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2017
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2017
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2018
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2018
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2019
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2019
Not Applicable,5-9 years,Female,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,5-9 years,Male,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,1999
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,1999
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2000
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2000
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2001
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2001
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2002
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2002
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2003
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2003
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2004
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2004
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2005
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2005
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2006
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2006
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2007
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2007
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2008
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2008
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2009
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2009
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2010
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2010
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2011
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2011
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2012
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2012
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2013
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2013
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2014
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2014
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2015
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2015
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2016
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2016
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2017
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2017
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2018
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2018
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2019
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2019
Not Applicable,10-14 years,Female,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,10-14 years,Male,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,1999
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,1999
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2000
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2000
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2001
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2001
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2002
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2002
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2003
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2003
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2004
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2004
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2005
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2005
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2006
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2006
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2007
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2007
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2008
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2008
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2009
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2009
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2010
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2010
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2011
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2011
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2012
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2012
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2013
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2013
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2014
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2014
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2015
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2015
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2016
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2016
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2017
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2017
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2018
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2018
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2019
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2019
Not Applicable,15-19 years,Female,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,15-19 years,Male,Not Stated,American Indian or Alaska Native,2020 
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,1999
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,1999
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2000
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2000
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2001
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2001
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2002
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2002
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2003
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2003
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2004
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2004
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2005
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2005
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2006
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2006
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2007
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2007
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2008
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2008
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2009
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2009
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2010
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2010
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2011
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2011
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2012
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2012
Not Applicable,20-24 years,Female,Not Stated,American Indian or Alaska Native,2013
Not Applicable,20-24 years,Male,Not Stated,American Indian or Alaska Native,2013
