"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2008"	"2008"	2012	257804	780.4
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2009"	"2009"	2003	267385	749.1
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2010"	"2010"	2034	275593	738.0
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2011"	"2011"	2045	284598	718.6
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2012"	"2012"	2128	299097	711.5
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2013"	"2013"	2129	309079	688.8
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2014"	"2014"	2082	318456	653.8
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2015"	"2015"	2169	328330	660.6
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2016"	"2016"	2289	335598	682.1
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2017"	"2017"	2506	345025	726.3
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2018"	"2018"	2494	354052	704.4
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2019"	"2019"	2689	360819	745.2
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2020 "	"2020"	3267	369171	885.0
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"1999"	"1999"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2000"	"2000"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2001"	"2001"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2002"	"2002"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2003"	"2003"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2004"	"2004"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2005"	"2005"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2006"	"2006"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2008"	"2008"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2009"	"2009"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2010"	"2010"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2011"	"2011"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2013"	"2013"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2014"	"2014"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2015"	"2015"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2016"	"2016"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2017"	"2017"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2020 "	"2020"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"1999"	"1999"	Suppressed	288647	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2000"	"2000"	0	293061	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2001"	"2001"	Suppressed	305923	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2002"	"2002"	0	298109	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2003"	"2003"	Suppressed	293639	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2004"	"2004"	Suppressed	295174	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2005"	"2005"	0	295852	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2006"	"2006"	Suppressed	301673	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2007"	"2007"	0	317712	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	317859	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2009"	"2009"	0	311773	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	306745	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	316146	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2012"	"2012"	0	311273	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2013"	"2013"	0	310153	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2014"	"2014"	0	310364	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	313992	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	311234	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	309368	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2018"	"2018"	0	302160	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2019"	"2019"	0	296282	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2020 "	"2020"	0	300818	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"1999"	"1999"	Suppressed	1192859	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2000"	"2000"	0	1197035	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2001"	"2001"	0	1183503	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2002"	"2002"	0	1191655	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2003"	"2003"	Suppressed	1192641	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2004"	"2004"	0	1193287	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2005"	"2005"	0	1194518	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2006"	"2006"	0	1186672	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2007"	"2007"	0	1192359	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	1218361	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2009"	"2009"	0	1242823	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2010"	"2010"	0	1255739	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2011"	"2011"	0	1258786	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2012"	"2012"	0	1252341	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2013"	"2013"	0	1241198	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2014"	"2014"	0	1241447	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2015"	"2015"	0	1242287	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2016"	"2016"	Suppressed	1244085	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2017"	"2017"	0	1246451	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2018"	"2018"	0	1243447	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2019"	"2019"	0	1225510	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2020 "	"2020"	0	1230226	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"1999"	"1999"	Suppressed	3266786	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2000"	"2000"	0	3290079	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2001"	"2001"	0	3304182	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2002"	"2002"	0	3305780	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2003"	"2003"	0	3298199	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2004"	"2004"	0	3273364	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2005"	"2005"	0	3232274	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2006"	"2006"	Suppressed	3206712	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2007"	"2007"	0	3180107	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2008"	"2008"	Suppressed	3151764	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	3138490	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	3136109	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2011"	"2011"	0	3129328	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2012"	"2012"	0	3140114	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2013"	"2013"	0	3144780	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2014"	"2014"	0	3146635	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2015"	"2015"	Suppressed	3136487	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	3134000	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2017"	"2017"	Suppressed	3142997	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2018"	"2018"	0	3156980	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2019"	"2019"	0	3164694	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2020 "	"2020"	Suppressed	3182224	Suppressed
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"1999"	"1999"	22	2761490	0.8
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2000"	"2000"	16	2790462	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2001"	"2001"	17	2889333	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2002"	"2002"	16	2954659	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2003"	"2003"	27	3011309	0.9
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2004"	"2004"	18	3083806	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2005"	"2005"	22	3152728	0.7
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2006"	"2006"	20	3215782	0.6
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2007"	"2007"	28	3262016	0.9
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2008"	"2008"	28	3302084	0.8
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2009"	"2009"	22	3329214	0.7
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2010"	"2010"	21	3336709	0.6
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2011"	"2011"	26	3392008	0.8
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2012"	"2012"	17	3431874	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2013"	"2013"	18	3450319	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2014"	"2014"	26	3458870	0.8
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2015"	"2015"	14	3445451	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2016"	"2016"	25	3403782	0.7
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2017"	"2017"	29	3358458	0.9
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2018"	"2018"	24	3298478	0.7
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2019"	"2019"	22	3253059	0.7
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2020 "	"2020"	23	3227129	0.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"1999"	"1999"	81	2475549	3.3
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2000"	"2000"	94	2461099	3.8
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2001"	"2001"	110	2417609	4.5
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2002"	"2002"	138	2405197	5.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2003"	"2003"	121	2390447	5.1
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2004"	"2004"	128	2406312	5.3
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2005"	"2005"	120	2415631	5.0
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2006"	"2006"	142	2432795	5.8
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2007"	"2007"	141	2460943	5.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2008"	"2008"	146	2502166	5.8
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2009"	"2009"	146	2551525	5.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2010"	"2010"	138	2587488	5.3
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2011"	"2011"	126	2654382	4.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2012"	"2012"	136	2716569	5.0
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2013"	"2013"	153	2784499	5.5
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2014"	"2014"	136	2879162	4.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2015"	"2015"	160	2973697	5.4
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2016"	"2016"	145	3080638	4.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2017"	"2017"	194	3196998	6.1
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2018"	"2018"	178	3297930	5.4
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2019"	"2019"	194	3384452	5.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2020 "	"2020"	232	3447824	6.7
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"1999"	"1999"	411	2582569	15.9
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2000"	"2000"	365	2606831	14.0
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2001"	"2001"	418	2626810	15.9
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2002"	"2002"	446	2613610	17.1
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2003"	"2003"	438	2594620	16.9
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2004"	"2004"	464	2580376	18.0
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2005"	"2005"	474	2567934	18.5
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2006"	"2006"	446	2568722	17.4
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2007"	"2007"	502	2558919	19.6
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2008"	"2008"	476	2539823	18.7
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2009"	"2009"	505	2506688	20.1
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2010"	"2010"	445	2483766	17.9
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2011"	"2011"	505	2450393	20.6
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2012"	"2012"	470	2451581	19.2
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2013"	"2013"	515	2454816	21.0
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2014"	"2014"	520	2478026	21.0
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2015"	"2015"	586	2498259	23.5
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2016"	"2016"	539	2502760	21.5
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2017"	"2017"	547	2534092	21.6
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2018"	"2018"	597	2565382	23.3
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2019"	"2019"	652	2602104	25.1
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2020 "	"2020"	714	2649354	26.9
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"1999"	"1999"	765	1815245	42.1
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2000"	"2000"	822	1896006	43.4
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2001"	"2001"	937	2018023	46.4
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2002"	"2002"	976	2099359	46.5
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2003"	"2003"	1128	2176117	51.8
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2004"	"2004"	1120	2248775	49.8
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2005"	"2005"	1169	2321969	50.3
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2006"	"2006"	1183	2386684	49.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2007"	"2007"	1147	2451857	46.8
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2008"	"2008"	1145	2509773	45.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2009"	"2009"	1210	2559687	47.3
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2010"	"2010"	1227	2590315	47.4
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2011"	"2011"	1214	2593939	46.8
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2012"	"2012"	1270	2580039	49.2
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2013"	"2013"	1213	2561168	47.4
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2014"	"2014"	1218	2543801	47.9
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2015"	"2015"	1201	2531669	47.4
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2016"	"2016"	1289	2520089	51.1
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2017"	"2017"	1232	2509125	49.1
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2018"	"2018"	1290	2475578	52.1
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2019"	"2019"	1280	2437980	52.5
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2020 "	"2020"	1572	2408645	65.3
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"1999"	"1999"	865	1033331	83.7
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2000"	"2000"	952	1060995	89.7
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2001"	"2001"	901	1100021	81.9
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2002"	"2002"	1069	1160749	92.1
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2003"	"2003"	1132	1224968	92.4
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2004"	"2004"	1260	1297335	97.1
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2005"	"2005"	1257	1377749	91.2
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2006"	"2006"	1315	1457875	90.2
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2007"	"2007"	1408	1532433	91.9
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2008"	"2008"	1510	1606901	94.0
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2009"	"2009"	1673	1692524	98.8
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2010"	"2010"	1670	1767574	94.5
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2011"	"2011"	1696	1875124	90.4
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2012"	"2012"	1887	1945605	97.0
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2013"	"2013"	1896	2011942	94.2
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2014"	"2014"	2026	2076375	97.6
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2015"	"2015"	2083	2139272	97.4
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2016"	"2016"	2179	2188564	99.6
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2017"	"2017"	2311	2239726	103.2
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2018"	"2018"	2414	2275130	106.1
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2019"	"2019"	2429	2305314	105.4
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2020 "	"2020"	3085	2323764	132.8
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"1999"	"1999"	976	665317	146.7
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2000"	"2000"	965	667889	144.5
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2001"	"2001"	993	684172	145.1
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2002"	"2002"	1003	696024	144.1
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2003"	"2003"	1133	711137	159.3
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2004"	"2004"	1080	725749	148.8
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2005"	"2005"	1137	743974	152.8
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2006"	"2006"	1178	762625	154.5
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2007"	"2007"	1093	782797	139.6
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2008"	"2008"	1235	809574	152.5
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2009"	"2009"	1213	836228	145.1
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2010"	"2010"	1271	856880	148.3
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2011"	"2011"	1282	892727	143.6
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2012"	"2012"	1353	944880	143.2
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2013"	"2013"	1546	1001955	154.3
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2014"	"2014"	1551	1059696	146.4
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2015"	"2015"	1597	1121377	142.4
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2016"	"2016"	1911	1181842	161.7
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2017"	"2017"	1938	1239268	156.4
