"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"1-4 years"	"1-4"	0	17087	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"5-9 years"	"5-9"	0	21905	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"10-14 years"	"10-14"	0	21418	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"15-19 years"	"15-19"	0	21194	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"20-24 years"	"20-24"	0	20601	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"25-29 years"	"25-29"	0	23211	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"30-34 years"	"30-34"	0	25983	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"35-39 years"	"35-39"	0	25200	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"40-44 years"	"40-44"	0	22065	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"45-49 years"	"45-49"	0	18734	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"50-54 years"	"50-54"	0	18343	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"55-59 years"	"55-59"	0	18038	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"60-64 years "	"60-64"	0	15883	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"65-69 years"	"65-69"	0	12894	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"70-74 years"	"70-74"	0	9672	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"75-79 years"	"75-79"	0	6044	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"80-84 years"	"80-84"	0	3694	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Hispanic or Latino"	"2186-2"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"< 1 year"	"1"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"5-9 years"	"5-9"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"10-14 years"	"10-14"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"15-19 years"	"15-19"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"20-24 years"	"20-24"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"25-29 years"	"25-29"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"30-34 years"	"30-34"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"35-39 years"	"35-39"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"40-44 years"	"40-44"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"45-49 years"	"45-49"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"50-54 years"	"50-54"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"55-59 years"	"55-59"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"60-64 years "	"60-64"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"65-69 years"	"65-69"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"70-74 years"	"70-74"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"75-79 years"	"75-79"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"80-84 years"	"80-84"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	0	371827	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"1-4 years"	"1-4"	0	1590254	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"5-9 years"	"5-9"	0	2122461	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"10-14 years"	"10-14"	0	2327704	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	0	2267361	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	0	2119088	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	0	2075664	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	0	1969096	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	0	1919491	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	0	1856334	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	0	1733727	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50-54 years"	"50-54"	0	1555988	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"55-59 years"	"55-59"	0	1366762	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"60-64 years "	"60-64"	0	1119506	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"65-69 years"	"65-69"	0	871112	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"70-74 years"	"70-74"	0	651406	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"75-79 years"	"75-79"	0	436627	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"80-84 years"	"80-84"	0	294460	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"< 1 year"	"1"	0	831485	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"1-4 years"	"1-4"	0	3590340	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"5-9 years"	"5-9"	0	4849775	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"10-14 years"	"10-14"	0	5161695	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"15-19 years"	"15-19"	0	5408191	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"20-24 years"	"20-24"	0	5559432	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"25-29 years"	"25-29"	0	5854957	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"30-34 years"	"30-34"	0	6263828	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"35-39 years"	"35-39"	0	6176169	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"40-44 years"	"40-44"	0	5897471	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"45-49 years"	"45-49"	0	5634132	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"50-54 years"	"50-54"	0	6451717	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"55-59 years"	"55-59"	0	7172732	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"60-64 years "	"60-64"	0	7556418	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"65-69 years"	"65-69"	0	6919897	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"70-74 years"	"70-74"	0	6059791	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"75-79 years"	"75-79"	Suppressed	4104256	Suppressed
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"80-84 years"	"80-84"	0	2725551	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"< 1 year"	"1"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"5-9 years"	"5-9"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"10-14 years"	"10-14"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"15-19 years"	"15-19"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"20-24 years"	"20-24"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"25-29 years"	"25-29"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"30-34 years"	"30-34"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"35-39 years"	"35-39"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"40-44 years"	"40-44"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"45-49 years"	"45-49"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"50-54 years"	"50-54"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"55-59 years"	"55-59"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"60-64 years "	"60-64"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"65-69 years"	"65-69"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"70-74 years"	"70-74"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"75-79 years"	"75-79"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"80-84 years"	"80-84"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	0	23709	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"1-4 years"	"1-4"	0	96533	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"5-9 years"	"5-9"	0	121009	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"10-14 years"	"10-14"	0	120870	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	0	100224	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	0	85966	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	0	76605	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	0	68320	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	0	61108	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	0	56711	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	0	44292	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"50-54 years"	"50-54"	0	36614	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"55-59 years"	"55-59"	0	31514	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"60-64 years "	"60-64"	0	25550	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"65-69 years"	"65-69"	0	18682	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"70-74 years"	"70-74"	0	12686	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"75-79 years"	"75-79"	0	7996	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"80-84 years"	"80-84"	0	4950	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-2"	"< 1 year"	"1"	0	93157	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-2"	"1-4 years"	"1-4"	0	384447	Unreliable
	"Acute transmural myocardial infarction of other sites"	"I21.2"	"Female"	"F"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-2"	"5-9 years"	"5-9"	0	487433	Unreliable
